Pension_Plans_in_India,Entry_Age_min,Enty_Age_max,Exit_Age,Policy_Term,Minimum_amount_to_Invest _yearly,Minimum_amount_to_Invest _monthly,Return_rate,urls
Tata AIA Fortune MaximaĀ,18,60,100,100 minus issue ageĀ,18000,1500,8.35,https://www.tataaia.com/life-insurance-plans/wealth-solutions/fortune-maxima.html
Bajaj Allianz Life LongLife Goal,18,65,99,99 years- Entry age,25000,2083.333333,12,https://www.bajajallianzlife.com/retirement-pension-plans/longlife-goal.html
HDFC Life Click 2 Wealth,18,60,75,20-64 years,12000,1000,8,https://www.hdfclife.com/ulip-plans/click-2-wealth-ulip-plan
Max Life Online Savings PlanĀ,18,60,45,5 to 67 yearsĀ,12000,1000,4,https://www.maxlifeinsurance.com/investment-plans/investment-calculator?utmCode=1311271&utm_theme=MonthlyIncome&utm_source=google&utm_medium=cpc&utm_campaign=RLSA_Brand_Saving_Exact&gclid=CjwKCAiA04arBhAkEiwAuNOsIgcL9xVE1iD_ijcEr-Bo43210hxbWKJfVnNEcgk5QJPuHa3FC4XxXxoCK04QAvD_BwE
Edelweiss Life Tokio Wealth Secure Plus,18,60,70,5-25 yearsĀ,24000,2000,8,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjU7YTjieGCAxVmVA8CHVbRAHoYABAAGgJ0Yg&ase=2&gclid=CjwKCAiA04arBhAkEiwAuNOsIkQZNPCP3BSmimF1E7k0noocZKdlW1HUIOYqMXil68viaIwbOZJQyBoCL8AQAvD_BwE&ohost=www.google.com&cid=CAESVuD2E7jL177kLsS6bnvyFhLOuQbBaNgW2nH4vrka5b4TqMQLzUEk97El-VsvAsywe6_M6TACc4HjKSRI_z91ffmsqOy5wi7GVT_Wogbqi1HO-dGoizF1&sig=AOD64_0T6djfr7m0zbsnRP9-Jbn2_J5-QA&q&nis=4&adurl&ved=2ahUKEwjFtPziieGCAxUxmlYBHfXvCBYQ0Qx6BAgHEAE
ICICI Prudential SignatureĀ,18,75,99,10-30 years,24000,2000,8,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjLi43pieGCAxU6VQ8CHdVCAf4YABAAGgJ0Yg&ase=2&gclid=CjwKCAiA04arBhAkEiwAuNOsIqnwsjJUCss7GSdHXXFMr-aPv-WqP9VlIXCVUcJeSE3qf3aKKJorMBoC1vcQAvD_BwE&ohost=www.google.com&cid=CAESVuD2yckS8tHvMBcWVKkcwS132Yr56-Hz9vNTxPtgTwZEfuBJ9Vnjg6qCKFXHzAQwaQ9zysqXp3isneymU4mPQxzkHnacN29aB6cTcpjoSJqLZ1ZaehXm&sig=AOD64_2kf2hedClk4uDTOLrm5tKuhGrFYw&q&nis=4&adurl&ved=2ahUKEwigtYbpieGCAxX41zQHHQuhBdsQ0Qx6BAgNEAE
Tata AIA Life Guaranteed Monthly Income Plan,6,60,68,"5, 8, 12 years",36000,3000,13.03,https://www.tataaia.com/life-insurance-plans/savings-solutions/guaranteed-monthly-income-plan.html
Bajaj Allianz Pension Guaranteed Pension Plan,0,100,0,Lifetime,25000,2083.333333,8,https://www.bajajallianzlife.com/retirement-pension-plans/guaranteed-pension-goal.html
Max Life Forever Young Pension Plan,30,65,75,10 years to 75 years-Entry age,25000,2083.333333,8,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjj24D8ieGCAxW2wkwCHWaICYkYABAAGgJ0bQ&ase=2&gclid=CjwKCAiA04arBhAkEiwAuNOsIlFCPBd2N2WxPMAjlT1JFwT_oZJae7kx3Rc1Msv1PZiTPbpNB0YWehoCrg4QAvD_BwE&ohost=www.google.com&cid=CAESVuD2PNfU3pw-Z3IPO12i7CjbL-EaxnUT9MrsjT9pD4Tju_PIa9PPdEYKEC4JvXmrtCIXcsSlSBWRv11bj3dE23gBptBtvMIjcnhm_vzXk0XmqdcD53JG&sig=AOD64_3GuVyRNavyybr78cKd0w_1So2avg&q&nis=4&adurl&ved=2ahUKEwjW8Pj7ieGCAxU8klYBHUxbBjEQ0Qx6BAgIEAE
ICICI Pru Easy Retirement Plan,18,70,80,"10, 15, 20, 25, 30 years",48000,4000,7.5,https://www.iciciprulife.com/retirement-pension-plans/easy-retirement-plan.html
LIC Jeevan Akshay 7 Pension Plan,30,100,0,Lifetime,100000,8333.333333,6.38,https://translate.google.com/translate?u=https://licindia.in/lic-s-jeevan-akshay-vii-plan-no.-857-uin-512n337v03-&hl=hi&sl=en&tl=hi&client=srp&prev=search
LIC New Jeevan Shanti Pension Plan,30,79,80,--,150000,12500,8,https://licindia.in/jeevan-shanti
Max Life Guaranteed Lifetime Income Pension Plan,0,85,90,N/A,250000,20833.33333,10.24,https://www.maxlifeinsurance.com/retirement-plans/guaranteed-lifetime-income-plan
Aditya Birla Sun Life Empower Pension Plan,25,70,80,5-30 years,18000,1500,9,https://lifeinsurance.adityabirlacapital.com/retirement-and-pension-plans/absli-empower-pension-plan
IndiaFirst Life Guaranteed Annuity Plan,40,80,0,Lifetime,100000,8333.333333,8,https://www.indiafirstlife.com/individual-life-insurance/pension-plan/guaranteed-annuity-pension-plan
Kotak Premier Pension Plan,30,60,70,10-30 years,100000,8333.333333,8,https://www.kotaklife.com/insurance-plans/retirement-plans/kotak-premier-pension-plan
SBI Life Saral Retirement Saver,18,65,70,"5, 10- 40 years",100000,8333.333333,8,https://www.kotaklife.com/insurance-plans/retirement-plans/kotak-premier-pension-plan
